"id","alias","name","technical_id","description","status","tags","created_by","created_at","updated_at","deleted_at"
"120100219","","ترمینال مادگی C20003-01PT(SPND-001T-C0.5)","HCB: C20003-01PT(SPND-001T-C0.5) -  JST: SPND-001T-C0.5-   ZUCH: TP2001J-3(A)","","0",NULL,"","2025-10-18 11:39:18","",""
"120100220","","ترمینال خاردار 2.8 آبکاری TP1101-2115(2.8X0.5)","TP1101-2115(2.8X0.5)","","0",NULL,"","2025-10-18 11:39:18","",""
"120100221","","ترمینال مادگی C42002-02PT(RV42-PT)","ZUCH: TP4202J-3(B)-C42002-02PT(RV42-PT)","","0",NULL,"","2025-10-18 11:39:18","",""
"120110154","","ترمینال نری پرایدی 6/3 پایه متوسط","","","0",NULL,"","2025-10-18 11:39:18","",""
"120100224","","ترمینال ST 730141-1","","","0",NULL,"","2025-10-18 11:39:18","",""
"120110153","","ترمینال كلمپ درشت TEK-2853(اسپیلایس)","","","0",NULL,"","2025-10-18 11:39:18","",""
"120100216","","ترمینال کلمپ درشت (اسپیلایس) 2854","","","0",NULL,"","2025-10-18 11:39:18","",""
"120110133","","ترمینال مادگی PHBA2003-TP2","","","0",NULL,"","2025-10-18 11:39:18","",""
"120110130","","ترمینال مادگی A1251-TP2","","","0",NULL,"","2025-10-18 11:39:18","",""
"120110131","","ترمینال مادگی GHA1256-TP2","","","0",NULL,"","2025-10-18 11:39:18","",""
"120110132","","ترمینال مادگی PHA2001","","","0",NULL,"","2025-10-18 11:39:18","",""
"120110136","","ترمینال اینورتر (DEP1-00105)","AMP: 5-170063-2","","0",NULL,"","2025-10-18 11:39:18","",""
"120110137","","ترمینال مادگی 2.8","6228021152(8240-4092)","","0",NULL,"","2025-10-18 11:39:18","",""
"120110134","","ترمینال مادگی A2005-TP2","","","0",NULL,"","2025-10-18 11:39:18","",""
"120110129","","ترمینال مادگی YST025","","","0",NULL,"","2025-10-18 11:39:18","",""
"120100211","","ترمینال پرچمی آبكاری شده (دهنه 0.7)","0101104122(SF1D EGRI (B) (6.3) RPK)","","0",NULL,"","2025-10-18 11:39:18","",""
"120100212","","ترمینال پرچمی 7/7","0100104025(SF2.5D EGRI TIR (7.7) RP)","","0",NULL,"","2025-10-18 11:39:18","",""
"120100213","","ترمینال دهنه ماهی پایه کوتاه","0101106008(SF29DK-V RPK)","","0",NULL,"","2025-10-18 11:39:18","",""
"120100210","","ترمینال نری پایه متوسط    MIC IV","DJ614-2.8×0.8B      AMP: 142755-1","","0",NULL,"","2025-10-18 11:39:18","",""
"120110125","","ترمینال مادگی 6/3 پشت چاکدار پایه کوتاه","MET:MT530173-1   KET:ST730173-1","","0",NULL,"","2025-10-18 11:39:18","",""
"120110103","","ترمینال YEONHO 15001TS","","","0",NULL,"","2025-10-18 11:39:18","",""
"120110106","","ترمینال نری خاردار 6/3 پایه متوسط","SF1EU1K (6.3) RP(0100101015)","","0",NULL,"","2025-10-18 11:39:18","",""
"120110105","","ترمینال نری پایه بلند ATX (5558T-39000040)","faf: B420001-3(5557-A)","","0",NULL,"","2025-10-18 11:39:18","",""
"120100134","","ترمینال A2505-TP","","","0",NULL,"","2025-10-18 11:39:18","",""
"120100133","","ترمینال مادگی YRT110-SL","","","0",NULL,"","2025-10-18 11:39:18","",""
"120100135","","ترمینال 6/3 پشت نری آبکاری شده","MESA: TD-2124    HCB: TP2501-3028","","0",NULL,"","2025-10-18 11:39:18","",""
"120100136","","ترمینال كلمپ (اسپیلایس) کد 1-560145","","","0",NULL,"","2025-10-18 11:39:18","",""
"120100137","","ترمینال كلمپ (اسپیلایس) کد UFM146","","","0",NULL,"","2025-10-18 11:39:18","",""
"120100138","","ترمینال كلمپ (اسپیلایس) کد UFM178","","","0",NULL,"","2025-10-18 11:39:18","",""
"120100139","","ترمینال مادگی پایه کوتاه","FCI:211CC2S1160   LHE:6215020053  AHI:AH627-A1.5*0.8A","","0",NULL,"","2025-10-18 11:39:18","",""
"120100146","","ترمینال مادگی پایه کوتاه سوکت PR-82-M","","","0",NULL,"","2025-10-18 11:39:18","",""
"120100147","","ترمینال مادگی پایه بلند سوکت PR-82-M","","","0",NULL,"","2025-10-18 11:39:18","",""
"120100148","","ترمینال مادگی  پایه بلند 2-1.5","FCI:211CC2S2160","","0",NULL,"","2025-10-18 11:39:18","",""
"120100149","","ترمینال مادگی پایه کوتاه کانکتور جعبه فیوز ST780377-3","","","0",NULL,"","2025-10-18 11:39:18","",""
"120100150","","ترمینال مادگی پایه بلند کانکتور جعبه فیوز ST780378-3","","","0",NULL,"","2025-10-18 11:39:18","",""
"120100151","","ترمینال مادگی 6/3 پشت صاف پایه کوتاه آبکاری ST730267-3","KET: ST730267-3  AHI:  629-6.3A","","0",NULL,"","2025-10-18 11:39:18","",""
"120100152","","ترمینال مادگی 6/3 پشت صاف پایه بلند آبکاری","KET:730269-3","","0",NULL,"","2025-10-18 11:39:18","",""
"120100153","","ترمینال مادگی کانکتور نری دو خانه L شکل ST730026-3","","","0",NULL,"","2025-10-18 11:39:18","",""
"120100154","","ترمینال مادگی","ST730852-3","","0",NULL,"","2025-10-18 11:39:18","",""
"120100157","","ترمینال مادگی کانکتورهجده خانه با کد:1379100-2","","","0",NULL,"","2025-10-18 11:39:18","",""
"120100158","","ترمینال مادگی پایه کوتاه مستطیلی","967542-1","","0",NULL,"","2025-10-18 11:39:18","",""
"120100159","","ترمینال مادگی پایه متوسط","ST730624-3","","0",NULL,"","2025-10-18 11:39:18","",""
"120100160","","ترمینال نری پایه کوتاه کانکتور دو خانه فنر خور سیل دار 185026-1","","","0",NULL,"","2025-10-18 11:39:18","",""
"120100162","","ترمینال مهره خور 8","ST710285-2","","0",NULL,"","2025-10-18 11:39:18","",""
"120100163","","ترمینال مادگی","7116-3703-02","","0",NULL,"","2025-10-18 11:39:18","",""
"120100164","","ترمینال مادگی","15304720","","0",NULL,"","2025-10-18 11:39:18","",""
"120100165","","ترمینال مادگی","7116-4142-02","","0",NULL,"","2025-10-18 11:39:18","",""
"120100166","","ترمینال مادگی پایه بلند کانکتور نری 10 خانه تایکو 171630-1","","","0",NULL,"","2025-10-18 11:39:18","",""
"120100169","","ترمینال مادگی کانکتور دو خانه ردیفی 142686-1","SF40D RFK","","0",NULL,"","2025-10-18 11:39:18","",""
"120100170","","ترمینال مادگی","KET:ST730689-3   Sumitomo:8100-0460","","0",NULL,"","2025-10-18 11:39:18","",""
"120100171","","ترمینال مادگی پایه بلند مستطیلی","967543-1","","0",NULL,"","2025-10-18 11:39:18","",""
"120100173","","ترمینال مادگی کانکتور تک خانه نری سوتی مشکی ST730057-2","","","0",NULL,"","2025-10-18 11:39:18","",""
"120100174","","ترمینال لول مادگی","ST730317-3","","0",NULL,"","2025-10-18 11:39:18","",""
"120100175","","ترمینال مادگی کانکتور تک خانه نری ماشینی ST730380-3","ST730380-3","","0",NULL,"","2025-10-18 11:39:18","",""
"120100178","","ترمینال اسپلایس ST760149-2","","","0",NULL,"","2025-10-18 11:39:18","",""
"120100179","","ترمینال اسپلایس ST760146-2","","","0",NULL,"","2025-10-18 11:39:18","",""
"120100180","","ترمینال اسپلایس ST760145-2","","","0",NULL,"","2025-10-18 11:39:18","",""
"120100181","","ترمینال اسپلایس ST760344-2","","","0",NULL,"","2025-10-18 11:39:18","",""
"120100182","","ترمینال مادگی پایه کوتاه کانکتور دو خانه نری استوانه ای MG640165","","","0",NULL,"","2025-10-18 11:39:18","",""
"120100185","","ترمینال نری پایه کوتاه کانکتورفیوز اصلی پراید ST740109-3","","","0",NULL,"","2025-10-18 11:39:18","",""
"120100186","","ترمینال نری پایه بلند کانکتورفیوز اصلی پراید ST740110-3","","","0",NULL,"","2025-10-18 11:39:18","",""
"120100187","","ترمینال مهره خور ST710246-2","","","0",NULL,"","2025-10-18 11:39:18","",""
"120100192","","ترمینال مادگی پایه بلند","ST730381-3","","0",NULL,"","2025-10-18 11:39:18","",""
"120100194","","ترمینال مادگی کانکتور نری  تک خانه ST730902-3","","","0",NULL,"","2025-10-18 11:39:18","",""
"120100195","","ترمینال مادگی کانکتور 2 خانه نری ST730411-3","","","0",NULL,"","2025-10-18 11:39:18","",""
"120100196","","ترمینال نری 0.3 تا 0.5","KET : ST740672-3   AHI : AH616-2.2*0.6A","","0",NULL,"","2025-10-18 11:39:18","",""
"120100197","","ترمینال نری 0.85 تا 1.25","KET : ST740673-3   AHI : AH616-2.2*0.6B","","0",NULL,"","2025-10-18 11:39:18","",""
"120100198","","ترمینال نری کانکتور مادگی 16 خانه 2-368050-3","","","0",NULL,"","2025-10-18 11:39:18","",""
"120100199","","ترمینال مهره خورST710447-2","","","0",NULL,"","2025-10-18 11:39:18","",""
"120100200","","ترمینال نری پایه کوتاه کانکتورهفت خانه مادگی ST740260-3","","","0",NULL,"","2025-10-18 11:39:18","",""
"120100201","","ترمینال نری پایه بلند کانکتورهفت خانه مادگی ST740261-3","","","0",NULL,"","2025-10-18 11:39:18","",""
"120100202","","ترمینال مادگی کانکتور پنج خانه نری ST730259-3","KET:ST730259-3","","0",NULL,"","2025-10-18 11:39:18","",""
"120100203","","ترمینال مادگی کانکتور دو خانه ST730898-3","","","0",NULL,"","2025-10-18 11:39:18","",""
"120100204","","ترمینال مادگی کانکتور دو خانه ST730351-2","","","0",NULL,"","2025-10-18 11:39:18","",""
"120100205","","ترمینال نری پایه کوتاه  کانکتورهفت خانه مادگی ST 740260-3","","","0",NULL,"","2025-10-18 11:39:18","",""
"120100206","","ترمینال نری پایه بلند  کانکتورهفت خانه مادگی ST 740261-3","","","0",NULL,"","2025-10-18 11:39:18","",""
"120100207","","ترمینال نری 3تایی کانکتور فیوز اصلی پراید","","","0",NULL,"","2025-10-18 11:39:18","",""
"120110107","","ترمینال نری خاردار 6/3 پایه بلند","Mesa:TE2308 DP      HATKO:0100101003","","0",NULL,"","2025-10-18 11:39:18","",""
"120110108","","ترمینال 6/3  پشت چاکدار پایه بلند TD 2112","","","0",NULL,"","2025-10-18 11:39:18","",""
"120110109","","ترمینال مادگی 917684.1","","","0",NULL,"","2025-10-18 11:39:18","",""
"120110110","","ترمینال مادگی مکعبی 1744201.1","","","0",NULL,"","2025-10-18 11:39:18","",""
"120110111","","ترمینال نری  پرایدی 6/3 آبکاری پایه بلند","ST740255-3","","0",NULL,"","2025-10-18 11:39:18","",""
"120110112","","ترمینال مادگی پایه کوتاه ST730641-3","","","0",NULL,"","2025-10-18 11:39:18","",""
"120110113","","ترمینال مهره خور کوچک","","","0",NULL,"","2025-10-18 11:39:18","",""
"120110114","","ترمینال نری پایه کوتاه ST741084-3","","","0",NULL,"","2025-10-18 11:39:18","",""
"120110115","","ترمینال مهره خور  ST710236-3","","","0",NULL,"","2025-10-18 11:39:18","",""
"120110116","","ترمینال مادگی 35068.9802","","","0",NULL,"","2025-10-18 11:39:18","",""
"120110117","","ترمینال مادگی پایه بلند ST730638-3","HXH: HX62003-PT(730638-3)    KET: ST730638-3","","0",NULL,"","2025-10-18 11:39:18","",""
"120110119","","ترمینال مادگی 65001TS","","","0",NULL,"","2025-10-18 11:39:18","",""
"120110120","","ترمینال مادگی 35021.1001","","","0",NULL,"","2025-10-18 11:39:18","",""
"120110121","","ترمینال مادگی 170063.2","","","0",NULL,"","2025-10-18 11:39:18","",""
"120110122","","ترمینال مادگی 03507209802","","","0",NULL,"","2025-10-18 11:39:18","",""
"120110123","","ترمینال مادگی ST731081-3","","","0",NULL,"","2025-10-18 11:39:18","",""
"120110124","","ترمینال پرچمی قفلدار 175057.1","","","0",NULL,"","2025-10-18 11:39:18","",""
"120100209","","ترمینال مادگی 4/8 آبكاری شده كلید دار","","","0",NULL,"","2025-10-18 11:39:18","",""
"120100001","","ترمینال نری نك پك (357450110)","FAF:B450003-3-I","","0",NULL,"","2025-10-18 11:39:18","",""
"120100003","","ترمینال نری نك پم (357450210)","","","0",NULL,"","2025-10-18 11:39:18","",""
"120100004","","ترمینال مادگی نك پم (357460210)","","","0",NULL,"","2025-10-18 11:39:18","",""
